game_id,season,team_name,golie_name,timeOnIce,assists,goals_for,pim,saves,shots,goals_against,savePercentage,powerPlaySaves,powerPlayShotsAgainst,powerPlaySavePercentage,outcome
2011030221,20112012,Devils,Martin Brodeur,3876,0,0,0,32,36,4,88.88888888888891,7,8,87.5,L
2011030221,20112012,Flyers,Ilya Bryzgalov,3876,0,0,0,23,26,3,88.46153846153851,4,5,80.0,W
2011030222,20112012,Devils,Martin Brodeur,3599,0,0,0,19,20,1,95.0,1,1,100.0,W
2011030222,20112012,Flyers,Ilya Bryzgalov,3559,0,0,0,31,34,3,91.1764705882353,6,6,100.0,L
2011030223,20112012,Flyers,Ilya Bryzgalov,4623,0,0,0,27,31,4,87.09677419354841,1,2,50.0,L
2011030223,20112012,Devils,Martin Brodeur,4641,0,0,0,25,28,3,89.2857142857143,4,5,80.0,W
2011030224,20112012,Flyers,Ilya Bryzgalov,3555,0,0,0,39,42,3,92.8571428571429,6,7,85.71428571428571,L
2011030224,20112012,Devils,Martin Brodeur,3600,1,0,0,20,22,2,90.9090909090909,1,2,50.0,W
2011030225,20112012,Devils,Martin Brodeur,3600,0,0,0,27,28,1,96.42857142857142,0,0,,W
2011030225,20112012,Flyers,Ilya Bryzgalov,3452,0,0,0,27,30,3,90.0,2,3,66.6666666666667,L
2011030411,20112012,Kings,Jonathan Quick,4093,0,0,0,16,17,1,94.11764705882351,2,2,100.0,W
2011030411,20112012,Devils,Martin Brodeur,4093,0,0,0,23,25,2,92.0,1,1,100.0,L
2011030412,20112012,Kings,Jonathan Quick,4422,0,0,0,32,33,1,96.969696969697,3,3,100.0,W
2011030412,20112012,Devils,Martin Brodeur,4422,0,0,0,30,32,2,93.75,1,1,100.0,L
2011030413,20112012,Devils,Martin Brodeur,3595,0,0,0,17,21,4,80.9523809523809,2,4,50.0,L
2011030413,20112012,Kings,Jonathan Quick,3600,0,0,0,22,22,0,100.0,3,3,100.0,W
2011030414,20112012,Devils,Martin Brodeur,3600,0,0,0,21,22,1,95.4545454545455,6,7,85.71428571428571,W
2011030414,20112012,Kings,Jonathan Quick,3582,0,0,0,21,23,2,91.304347826087,6,6,100.0,L
2011030415,20112012,Kings,Jonathan Quick,3533,0,0,0,17,19,2,89.4736842105263,2,3,66.6666666666667,L
2011030415,20112012,Devils,Martin Brodeur,3600,0,0,0,25,26,1,96.1538461538462,4,4,100.0,W
2011030416,20112012,Devils,Martin Brodeur,3564,0,0,0,19,24,5,79.1666666666667,10,13,76.9230769230769,L
2011030416,20112012,Kings,Jonathan Quick,3594,0,0,0,17,18,1,94.44444444444441,0,0,,W
2010030311,20102011,Lightning,Dwayne Roloson,3600,0,0,0,31,33,2,93.9393939393939,4,4,100.0,W
2010030311,20102011,Bruins,Tim Thomas,3583,0,0,0,29,33,4,87.8787878787879,10,11,90.9090909090909,L
2010030312,20102011,Lightning,Mike Smith,1129,0,0,0,8,8,0,100.0,3,3,100.0,
2010030312,20102011,Lightning,Dwayne Roloson,2400,0,0,0,21,27,6,77.7777777777778,9,11,81.8181818181818,L
2010030312,20102011,Bruins,Tim Thomas,3600,0,0,0,36,41,5,87.8048780487805,6,7,85.71428571428571,W
2010030313,20102011,Bruins,Tim Thomas,3600,0,0,0,31,31,0,100.0,5,5,100.0,W
2010030313,20102011,Lightning,Dwayne Roloson,3471,0,0,0,23,25,2,92.0,3,3,100.0,L
2010030314,20102011,Bruins,Tim Thomas,3552,0,0,0,32,36,4,88.88888888888891,2,2,100.0,L
2010030314,20102011,Lightning,Mike Smith,2522,0,0,0,21,21,0,100.0,2,2,100.0,W
2010030314,20102011,Lightning,Dwayne Roloson,1078,0,0,0,6,9,3,66.6666666666667,0,0,,
2010030315,20102011,Lightning,Mike Smith,3558,0,0,0,17,19,2,89.4736842105263,2,2,100.0,L
2010030315,20102011,Bruins,Tim Thomas,3566,0,0,0,33,34,1,97.0588235294118,4,4,100.0,W
2010030316,20102011,Bruins,Tim Thomas,3512,0,0,0,21,26,5,80.76923076923079,5,8,62.5,L
2010030316,20102011,Lightning,Dwayne Roloson,3600,0,0,0,16,20,4,80.0,4,5,80.0,W
2010030317,20102011,Lightning,Dwayne Roloson,3574,0,0,0,37,38,1,97.36842105263159,0,0,,L
2010030317,20102011,Bruins,Tim Thomas,3600,0,0,0,24,24,0,100.0,0,0,,W
2012030221,20122013,Rangers,Henrik Lundqvist,4540,0,0,0,45,48,3,93.75,10,11,90.9090909090909,L
2012030221,20122013,Bruins,Tuukka Rask,4540,0,0,0,33,35,2,94.2857142857143,3,3,100.0,W
2012030222,20122013,Rangers,Henrik Lundqvist,3600,0,0,0,27,32,5,84.375,1,1,100.0,L
2012030222,20122013,Bruins,Tuukka Rask,3600,0,0,0,35,37,2,94.5945945945946,7,7,100.0,W
2012030223,20122013,Bruins,Tuukka Rask,3600,0,0,0,23,24,1,95.8333333333333,2,2,100.0,W
2012030223,20122013,Rangers,Henrik Lundqvist,3534,0,0,0,32,34,2,94.11764705882351,0,0,,L
2012030224,20122013,Bruins,Tuukka Rask,4019,0,0,0,28,32,4,87.5,5,6,83.3333333333333,L
2012030224,20122013,Rangers,Henrik Lundqvist,4023,0,0,0,37,40,3,92.5,6,8,75.0,W
2012030225,20122013,Rangers,Henrik Lundqvist,3547,0,0,0,29,31,2,93.54838709677419,2,3,66.6666666666667,L
2012030225,20122013,Bruins,Tuukka Rask,3600,0,0,0,28,29,1,96.551724137931,1,2,50.0,W
2012030311,20122013,Bruins,Tuukka Rask,3600,0,0,0,29,29,0,100.0,9,9,100.0,W
2012030311,20122013,Penguins,Tomas Vokoun,3600,0,0,0,27,30,3,90.0,4,4,100.0,L
2012030312,20122013,Bruins,Tuukka Rask,3600,0,0,0,26,27,1,96.29629629629629,3,3,100.0,W
2012030312,20122013,Penguins,Tomas Vokoun,991,0,0,0,9,12,3,75.0,3,3,100.0,L
2012030312,20122013,Penguins,Marc-Andre Fleury,2604,0,0,0,14,17,3,82.3529411764706,0,0,,
2012030313,20122013,Penguins,Tomas Vokoun,5719,0,0,0,38,40,2,95.0,4,4,100.0,L
2012030313,20122013,Bruins,Tuukka Rask,5719,0,0,0,53,54,1,98.14814814814821,13,13,100.0,W
2012030314,20122013,Penguins,Tomas Vokoun,3504,0,0,0,23,24,1,95.8333333333333,2,2,100.0,L
2012030314,20122013,Bruins,Tuukka Rask,3600,0,0,0,26,26,0,100.0,2,2,100.0,W
2010030241,20102011,Red Wings,Jimmy Howard,4011,0,0,2,44,46,2,95.6521739130435,13,14,92.8571428571429,L
2010030241,20102011,Sharks,Antti Niemi,4023,0,0,0,24,25,1,96.0,5,5,100.0,W
2010030242,20102011,Red Wings,Jimmy Howard,3537,0,0,0,35,37,2,94.5945945945946,7,8,87.5,L
2010030242,20102011,Sharks,Antti Niemi,3592,0,0,0,33,34,1,97.0588235294118,7,8,87.5,W
2010030243,20102011,Sharks,Antti Niemi,4159,0,0,0,38,41,3,92.6829268292683,6,8,75.0,W
2010030243,20102011,Red Wings,Jimmy Howard,4145,0,0,0,34,38,4,89.4736842105263,5,7,71.4285714285714,L
2010030244,20102011,Sharks,Antti Niemi,3521,0,0,0,36,40,4,90.0,4,5,80.0,L
2010030244,20102011,Red Wings,Jimmy Howard,3598,0,0,0,25,28,3,89.2857142857143,3,3,100.0,W
2010030245,20102011,Red Wings,Jimmy Howard,3595,0,0,0,39,42,3,92.8571428571429,8,8,100.0,W
2010030245,20102011,Sharks,Antti Niemi,3527,0,0,0,18,22,4,81.8181818181818,0,0,,L
2010030246,20102011,Sharks,Antti Niemi,3522,0,0,0,42,44,2,95.4545454545455,9,9,100.0,L
2010030246,20102011,Red Wings,Jimmy Howard,3600,0,0,0,24,25,1,96.0,5,5,100.0,W
2010030247,20102011,Red Wings,Jimmy Howard,3516,0,0,0,27,30,3,90.0,9,10,90.0,L
2010030247,20102011,Sharks,Antti Niemi,3600,0,0,0,38,40,2,95.0,2,2,100.0,W
2010030231,20102011,Predators,Pekka Rinne,3509,0,0,0,29,30,1,96.6666666666667,13,13,100.0,L
2010030231,20102011,Canucks,Roberto Luongo,3598,0,0,0,20,20,0,100.0,4,4,100.0,W
2010030232,20102011,Predators,Pekka Rinne,5690,0,0,0,32,33,1,96.969696969697,0,0,,W
2010030232,20102011,Canucks,Roberto Luongo,5691,0,0,0,44,46,2,95.6521739130435,7,7,100.0,L
2010030233,20102011,Canucks,Roberto Luongo,4245,0,0,0,28,30,2,93.3333333333333,3,3,100.0,W
2010030233,20102011,Predators,Pekka Rinne,4243,0,0,0,44,47,3,93.6170212765958,3,5,60.0,L
2010030234,20102011,Canucks,Roberto Luongo,3599,0,0,0,19,21,2,90.4761904761905,5,6,83.3333333333333,W
2010030234,20102011,Predators,Pekka Rinne,3571,0,0,0,24,27,3,88.88888888888891,3,4,75.0,L
2010030235,20102011,Predators,Pekka Rinne,3600,0,0,0,31,34,3,91.1764705882353,2,2,100.0,W
2010030235,20102011,Canucks,Roberto Luongo,3541,0,0,0,19,23,4,82.6086956521739,2,2,100.0,L
2010030236,20102011,Canucks,Roberto Luongo,3586,0,0,0,23,24,1,95.8333333333333,7,7,100.0,W
2010030236,20102011,Predators,Pekka Rinne,3515,0,0,0,17,19,2,89.4736842105263,3,4,75.0,L
2012030231,20122013,Red Wings,Jimmy Howard,3549,0,0,0,38,41,3,92.6829268292683,4,5,80.0,L
