game_id,season,type,date_time,team_name,GF,GA,HoA,outcome,settled_in,head_coach,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,year,month
2011030221,20112012,P,2012-04-29,Devils,3,4,away,Lose,OT,Peter DeBoer,26,31,12,3,1,44.9,6,7,2012,4
2011030221,20112012,P,2012-04-29,Flyers,4,3,home,Win,OT,Peter Laviolette,36,27,6,6,1,55.1,13,4,2012,4
2011030222,20112012,P,2012-05-01,Devils,4,1,away,Win,REG,Peter DeBoer,35,32,12,4,0,50.9,8,7,2012,5
2011030222,20112012,P,2012-05-01,Flyers,1,4,home,Lose,REG,Peter Laviolette,20,24,32,5,0,49.1,9,6,2012,5
2011030223,20112012,P,2012-05-03,Flyers,3,4,away,Lose,OT,Peter Laviolette,28,28,4,5,1,50.8,2,1,2012,5
2011030223,20112012,P,2012-05-03,Devils,4,3,home,Win,OT,Peter DeBoer,31,30,10,2,1,49.2,11,4,2012,5
2011030224,20112012,P,2012-05-06,Flyers,2,4,away,Lose,REG,Peter Laviolette,22,23,10,2,1,62.5,20,5,2012,5
2011030224,20112012,P,2012-05-06,Devils,4,2,home,Win,REG,Peter DeBoer,43,19,4,5,1,37.5,5,3,2012,5
2011030225,20112012,P,2012-05-08,Devils,3,1,away,Win,REG,Peter DeBoer,30,26,2,4,1,55.0,6,5,2012,5
2011030225,20112012,P,2012-05-08,Flyers,1,3,home,Lose,REG,Peter Laviolette,28,38,8,1,0,45.0,14,7,2012,5
2011030411,20112012,P,2012-05-31,Kings,2,1,away,Win,OT,Darryl Sutter,25,35,4,1,0,55.4,6,4,2012,5
2011030411,20112012,P,2012-05-31,Devils,1,2,home,Lose,OT,Peter DeBoer,17,44,2,2,0,44.6,11,8,2012,5
2011030412,20112012,P,2012-06-03,Kings,2,1,away,Win,OT,Darryl Sutter,32,32,8,2,0,53.5,1,3,2012,6
2011030412,20112012,P,2012-06-03,Devils,1,2,home,Lose,OT,Peter DeBoer,33,35,4,4,0,46.5,8,7,2012,6
2011030413,20112012,P,2012-06-05,Devils,0,4,away,Lose,REG,Peter DeBoer,22,32,6,6,0,43.4,11,4,2012,6
2011030413,20112012,P,2012-06-05,Kings,4,0,home,Win,REG,Darryl Sutter,21,55,12,2,2,56.6,17,5,2012,6
2011030414,20112012,P,2012-06-07,Devils,3,1,away,Win,REG,Peter DeBoer,24,43,8,3,0,54.0,13,2,2012,6
2011030414,20112012,P,2012-06-07,Kings,1,3,home,Lose,REG,Darryl Sutter,22,33,6,4,1,46.0,17,3,2012,6
2011030415,20112012,P,2012-06-10,Kings,1,2,away,Lose,REG,Darryl Sutter,26,23,6,2,0,47.2,5,0,2012,6
2011030415,20112012,P,2012-06-10,Devils,2,1,home,Win,REG,Peter DeBoer,19,34,6,2,1,52.8,4,3,2012,6
2011030416,20112012,P,2012-06-12,Devils,1,6,away,Lose,REG,Peter DeBoer,18,48,47,2,0,35.8,16,1,2012,6
2011030416,20112012,P,2012-06-12,Kings,6,1,home,Win,REG,Darryl Sutter,25,34,6,9,3,64.2,21,5,2012,6
2010030311,20102011,P,2011-05-15,Lightning,5,2,away,Win,REG,Guy Boucher,34,23,8,5,1,61.2,5,4,2011,5
2010030311,20102011,P,2011-05-15,Bruins,2,5,home,Lose,REG,Claude Julien,33,26,30,4,0,38.8,10,4,2011,5
2010030312,20102011,P,2011-05-18,Lightning,5,6,away,Lose,REG,Guy Boucher,41,24,16,4,1,43.8,9,4,2011,5
2010030312,20102011,P,2011-05-18,Bruins,6,5,home,Win,REG,Claude Julien,35,30,12,6,2,56.2,11,2,2011,5
2010030313,20102011,P,2011-05-20,Bruins,2,0,away,Win,REG,Claude Julien,25,19,8,3,0,56.9,7,6,2011,5
2010030313,20102011,P,2011-05-20,Lightning,0,2,home,Lose,REG,Guy Boucher,31,23,8,3,0,43.1,9,7,2011,5
2010030314,20102011,P,2011-05-21,Bruins,3,5,away,Lose,REG,Claude Julien,30,22,11,2,0,40.0,10,3,2011,5
2010030314,20102011,P,2011-05-21,Lightning,5,3,home,Win,REG,Guy Boucher,37,26,21,2,0,60.0,12,14,2011,5
2010030315,20102011,P,2011-05-24,Lightning,1,3,away,Lose,REG,Guy Boucher,34,18,10,4,0,42.3,5,8,2011,5
2010030315,20102011,P,2011-05-24,Bruins,3,1,home,Win,REG,Claude Julien,20,25,10,4,0,57.7,9,2,2011,5
2010030316,20102011,P,2011-05-26,Bruins,4,5,away,Lose,REG,Claude Julien,20,18,10,5,1,47.7,9,4,2011,5
2010030316,20102011,P,2011-05-26,Lightning,5,4,home,Win,REG,Guy Boucher,26,23,10,4,3,52.3,10,7,2011,5
2010030317,20102011,P,2011-05-28,Lightning,0,1,away,Lose,REG,Guy Boucher,24,23,0,0,0,42.6,11,4,2011,5
2010030317,20102011,P,2011-05-28,Bruins,1,0,home,Win,REG,Claude Julien,38,23,0,0,0,57.4,7,3,2011,5
2012030221,20122013,P,2013-05-16,Rangers,2,3,away,Lose,OT,John Tortorella,35,44,8,3,0,44.8,17,7,2013,5
2012030221,20122013,P,2013-05-16,Bruins,3,2,home,Win,OT,Claude Julien,48,51,6,4,1,55.2,4,5,2013,5
2012030222,20122013,P,2013-05-19,Rangers,2,5,away,Lose,REG,John Tortorella,37,33,11,5,0,51.7,1,4,2013,5
2012030222,20122013,P,2013-05-19,Bruins,5,2,home,Win,REG,Claude Julien,32,36,19,1,0,48.3,16,6,2013,5
2012030223,20122013,P,2013-05-21,Bruins,2,1,away,Win,REG,Claude Julien,34,28,6,0,0,61.8,10,7,2013,5
2012030223,20122013,P,2013-05-21,Rangers,1,2,home,Lose,REG,John Tortorella,24,37,2,2,0,38.2,7,9,2013,5
2012030224,20122013,P,2013-05-23,Bruins,3,4,away,Lose,OT,Claude Julien,40,24,8,4,2,53.7,8,6,2013,5
2012030224,20122013,P,2013-05-23,Rangers,4,3,home,Win,OT,John Tortorella,32,40,8,4,1,46.3,9,7,2013,5
2012030225,20122013,P,2013-05-25,Rangers,1,3,away,Lose,REG,John Tortorella,29,25,13,2,1,50.9,5,3,2013,5
2012030225,20122013,P,2013-05-25,Bruins,3,1,home,Win,REG,Claude Julien,32,35,11,3,1,49.1,12,9,2013,5
2012030311,20122013,P,2013-06-02,Bruins,3,0,away,Win,REG,Claude Julien,30,19,17,4,0,66.7,1,5,2013,6
2012030311,20122013,P,2013-06-02,Penguins,0,3,home,Lose,REG,Dan Bylsma,29,34,28,4,0,33.3,8,9,2013,6
2012030312,20122013,P,2013-06-04,Bruins,6,1,away,Win,REG,Claude Julien,29,19,6,1,0,50.9,2,5,2013,6
2012030312,20122013,P,2013-06-04,Penguins,1,6,home,Lose,REG,Dan Bylsma,27,37,4,2,0,49.1,12,5,2013,6
2012030313,20122013,P,2013-06-06,Penguins,1,2,away,Lose,OT,Dan Bylsma,54,46,16,6,0,57.3,8,10,2013,6
2012030313,20122013,P,2013-06-06,Bruins,2,1,home,Win,OT,Claude Julien,40,34,18,5,0,42.7,10,13,2013,6
2012030314,20122013,P,2013-06-08,Penguins,0,1,away,Lose,REG,Dan Bylsma,26,33,8,3,0,47.5,8,1,2013,6
2012030314,20122013,P,2013-06-08,Bruins,1,0,home,Win,REG,Claude Julien,24,25,8,3,0,52.5,11,5,2013,6
2010030241,20102011,P,2011-04-30,Red Wings,1,2,away,Lose,OT,Mike Babcock,25,30,16,2,0,50.0,11,12,2011,4
2010030241,20102011,P,2011-04-30,Sharks,2,1,home,Win,OT,Todd McLellan,46,26,8,6,1,50.0,20,11,2011,4
2010030242,20102011,P,2011-05-01,Red Wings,1,2,away,Lose,REG,Mike Babcock,34,31,14,6,1,46.5,11,5,2011,5
2010030242,20102011,P,2011-05-01,Sharks,2,1,home,Win,REG,Todd McLellan,37,19,26,5,1,53.5,5,15,2011,5
